,Year,Month,Departure station,Arrival station,Average travel time (min)
0,2019,7.0,ANGOULEME,PARIS MONTPARNASSE,131.914979757
1,2019,7.0,PARIS MONTPARNASSE,LA ROCHELLE VILLE,175.611570248
2,2019,7.0,LE MANS,PARIS MONTPARNASSE,62.3953488372
3,2019,7.0,ST MALO,PARIS MONTPARNASSE,172.421052632
4,2019,7.0,PARIS MONTPARNASSE,ST PIERRE DES CORPS,67.31
5,2019,7.0,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.59473684200003
6,2019,7.0,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.262886598
7,2019,7.0,PARIS EST,METZ,85.399380805
8,2019,7.0,PARIS EST,REIMS,46.3055555556
9,2019,7.0,PARIS NORD,DOUAI,67.0
10,2019,7.0,LYON PART DIEU,LILLE,187.298642534
11,2019,7.0,LILLE,MARSEILLE ST CHARLES,300.848780488
12,2019,7.0,TOURCOING,BORDEAUX ST JEAN,289.0
13,2019,7.0,LYON PART DIEU,MARNE LA VALLEE,109.587301587
14,2019,7.0,MARSEILLE ST CHARLES,MARNE LA VALLEE,213.803149606
15,2019,7.0,ANNECY,PARIS LYON,231.904411765
16,2019,7.0,CHAMBERY CHALLES LES EAUX,PARIS LYON,191.280991736
17,2019,7.0,PARIS LYON,LYON PART DIEU,120.473684211
18,2019,7.0,LYON PART DIEU,PARIS LYON,121.107913669
19,2019,7.0,PARIS LYON,MARSEILLE ST CHARLES,202.472826087
20,2019,7.0,MARSEILLE ST CHARLES,PARIS LYON,203.886363636
21,2019,7.0,PARIS LYON,GENEVE,183.5
22,2019,7.0,GENEVE,PARIS LYON,187.12009803900003
23,2019,7.0,MADRID,MARSEILLE ST CHARLES,198.0
24,2018,3.0,STRASBOURG,PARIS EST,112.402439024
25,2018,3.0,PARIS NORD,DUNKERQUE,120.996309963
26,2018,3.0,LYON PART DIEU,PARIS LYON,120.549770291
27,2018,3.0,PARIS LYON,GENEVE,194.005
28,2018,8.0,LILLE,MARSEILLE ST CHARLES,309.389534884
29,2018,8.0,LYON PART DIEU,MARNE LA VALLEE,108.849056604
30,2018,8.0,PARIS LYON,VALENCE ALIXAN TGV,131.078034682
31,2018,8.0,MADRID,MARSEILLE ST CHARLES,198.883888889
32,2018,7.0,NICE VILLE,PARIS LYON,345.647058824
33,2018,7.0,PARIS EST,STRASBOURG,113.211180124
34,2019,3.0,PARIS MONTPARNASSE,QUIMPER,220.426229508
35,2019,3.0,PARIS MONTPARNASSE,POITIERS,93.0759013283
36,2019,3.0,PARIS MONTPARNASSE,NANTES,127.637898687
37,2019,3.0,PARIS MONTPARNASSE,ST MALO,165.346534653
38,2019,3.0,TOULON,PARIS LYON,250.535087719
39,2019,3.0,PARIS LYON,AIX EN PROVENCE TGV,188.88337469
40,2019,3.0,PARIS EST,METZ,84.8149350649
41,2019,3.0,PARIS LYON,GRENOBLE,181.712
42,2019,1.0,PARIS MONTPARNASSE,POITIERS,93.2711538462
43,2018,12.0,PARIS LYON,ANNECY,224.298245614
44,2018,12.0,LYON PART DIEU,MONTPELLIER,118.622727273
45,2019,1.0,PARIS MONTPARNASSE,TOURS,72.7554347826
46,2019,1.0,PARIS MONTPARNASSE,QUIMPER,221.111111111
47,2019,1.0,LILLE,MARSEILLE ST CHARLES,299.893854749
48,2019,1.0,TOURS,PARIS MONTPARNASSE,75.1263157895
49,2019,1.0,NICE VILLE,PARIS LYON,357.34463276800005
50,2018,12.0,PARIS MONTPARNASSE,ANGERS SAINT LAUD,92.0509708738
51,2019,1.0,BARCELONA,PARIS LYON,390.5
52,2018,10.0,PARIS LYON,BELLEGARDE (AIN),160.47029703
53,2018,10.0,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0612244898
54,2018,10.0,MULHOUSE VILLE,PARIS LYON,171.798076923
55,2018,10.0,FRANCFORT,PARIS EST,226.405524345
56,2018,11.0,MARSEILLE ST CHARLES,TOURCOING,297.466666667
57,2018,9.0,RENNES,LYON PART DIEU,234.62195122
58,2018,9.0,VANNES,PARIS MONTPARNASSE,161.145522388
59,2018,9.0,LYON PART DIEU,LILLE,187.564885496
60,2018,9.0,BELLEGARDE (AIN),PARIS LYON,163.052631579
61,2018,9.0,PARIS MONTPARNASSE,LAVAL,89.4368932039
62,2019,2.0,PARIS MONTPARNASSE,ANGERS SAINT LAUD,91.155
63,2019,2.0,NANTES,PARIS MONTPARNASSE,131.888030888
64,2019,2.0,PARIS EST,METZ,84.7122807018
